day,a,a_score,b,b_score,gap,verdict,reason
sun,Weval (Live),5.28,Bazza Ranks,4.42,0.86,Weval (Live),clear on the scores
sun,Damien Dempsey,7.26,Kate Nash,6.39,0.87,Damien Dempsey,clear on the scores
sun,Eats Everything,6.04,The Dare (DJ Set),5.13,0.91,Eats Everything,clear on the scores
sun,Altern-8,7.15,King Kong Company,6.23,0.92,Altern-8,clear on the scores
sun,Ms Dynamite,6.81,Chet Faker,5.89,0.92,Ms Dynamite,clear on the scores
sun,Weval (Live),5.28,Anz b2b Jio,4.32,0.96,Weval (Live),clear on the scores
sun,Prosumer,6.54,SOAK,5.53,1.01,Prosumer,clear on the scores
sun,King Kong Company,6.23,The Dare (DJ Set),5.13,1.1,King Kong Company,clear on the scores
sun,Alabaster DePlume,5.82,Soda Blonde,4.72,1.1,Alabaster DePlume,clear on the scores
sun,SOAK,5.53,Kean Kavanagh,4.42,1.11,SOAK,clear on the scores
sun,Mogwai,8.65,Hot Chip (DJ Set),7.5,1.15,Mogwai,clear on the scores
sun,SOAK,5.53,BIIRD,4.27,1.26,SOAK,clear on the scores
sun,Soichi Terada (Live),7.93,Prosumer,6.54,1.39,Soichi Terada (Live),clear on the scores
sun,Chet Faker,5.89,Bazza Ranks,4.42,1.47,Chet Faker,clear on the scores
sun,Mogwai,8.65,Altern-8,7.15,1.5,Mogwai,clear on the scores
sun,Underworld,9.0,Anna von Hausswolff,7.47,1.53,Underworld,clear on the scores
sun,Chet Faker,5.89,Gabrielle Kwarteng,4.32,1.57,Chet Faker,clear on the scores
sun,Anna von Hausswolff,7.47,Chet Faker,5.89,1.58,Anna von Hausswolff,clear on the scores
sun,Barrington Levy,7.49,Alabaster DePlume,5.82,1.67,Barrington Levy,clear on the scores
sun,Disclosure (DJ),6.96,Weval (Live),5.28,1.68,Disclosure (DJ),clear on the scores
sun,Mogwai,8.65,Disclosure (DJ),6.96,1.69,Mogwai,clear on the scores
sun,Prosumer,6.54,Playback Presents: Stop Making Sense,4.83,1.71,Prosumer,clear on the scores
sun,Damien Dempsey,7.26,SOAK,5.53,1.73,Damien Dempsey,clear on the scores
sun,Altern-8,7.15,Weval (Live),5.28,1.87,Altern-8,clear on the scores
sun,King Kong Company,6.23,Anz b2b Jio,4.32,1.91,King Kong Company,clear on the scores
sun,Altern-8,7.15,The Dare (DJ Set),5.13,2.02,Altern-8,clear on the scores
sun,Prosumer,6.54,Kean Kavanagh,4.42,2.12,Prosumer,clear on the scores
sun,Hot Chip (DJ Set),7.5,Weval (Live),5.28,2.22,Hot Chip (DJ Set),clear on the scores
sun,Prosumer,6.54,BIIRD,4.27,2.27,Prosumer,clear on the scores
sun,Soichi Terada (Live),7.93,SOAK,5.53,2.4,Soichi Terada (Live),clear on the scores
sun,Damien Dempsey,7.26,Playback Presents: Stop Making Sense,4.83,2.43,Damien Dempsey,clear on the scores
sun,Ms Dynamite,6.81,Gabrielle Kwarteng,4.32,2.49,Ms Dynamite,clear on the scores
sun,Disclosure (DJ),6.96,Anz b2b Jio,4.32,2.64,Disclosure (DJ),clear on the scores
sun,Self Esteem,7.17,Kean Kavanagh,4.42,2.75,Self Esteem,clear on the scores
sun,Barrington Levy,7.49,Soda Blonde,4.72,2.77,Barrington Levy,clear on the scores
sun,Altern-8,7.15,Anz b2b Jio,4.32,2.83,Altern-8,clear on the scores
sun,Self Esteem,7.17,Gabrielle Kwarteng,4.32,2.85,Self Esteem,clear on the scores
sun,Self Esteem,7.17,BIIRD,4.27,2.9,Self Esteem,clear on the scores
sun,Barrington Levy,7.49,Getdown Services,4.51,2.98,Barrington Levy,clear on the scores
sun,Anna von Hausswolff,7.47,Bazza Ranks,4.42,3.05,Anna von Hausswolff,clear on the scores
sun,Soichi Terada (Live),7.93,Playback Presents: Stop Making Sense,4.83,3.1,Soichi Terada (Live),clear on the scores
sun,Underworld,9.0,Chet Faker,5.89,3.11,Underworld,clear on the scores
sun,Anna von Hausswolff,7.47,Gabrielle Kwarteng,4.32,3.15,Anna von Hausswolff,clear on the scores
sun,Hot Chip (DJ Set),7.5,Anz b2b Jio,4.32,3.18,Hot Chip (DJ Set),clear on the scores
sun,Mogwai,8.65,Weval (Live),5.28,3.37,Mogwai,clear on the scores
sun,Soichi Terada (Live),7.93,Kean Kavanagh,4.42,3.51,Soichi Terada (Live),clear on the scores
sun,Soichi Terada (Live),7.93,BIIRD,4.27,3.66,Soichi Terada (Live),clear on the scores
sun,Mogwai,8.65,Bazza Ranks,4.42,4.23,Mogwai,clear on the scores
sun,Mogwai,8.65,Anz b2b Jio,4.32,4.33,Mogwai,clear on the scores
sun,Underworld,9.0,Bazza Ranks,4.42,4.58,Underworld,clear on the scores
sun,Underworld,9.0,Gabrielle Kwarteng,4.32,4.68,Underworld,clear on the scores
